账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态
69,428186838200648,韵达快递,新疆维吾尔自治区,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
70,435157828036324,韵达快递,新疆维吾尔自治区,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,新疆维吾尔自治区,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
71,435157483831160,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
72,321112975204895,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
73,435157828036418,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
74,435157064104008,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
75,435157481524707,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
76,435157817910355,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,1,1,2.8,3.7,0,一致,金额一致
77,428186576073235,韵达快递,陕西省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
78,321113730156114,韵达快递,湖南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,湖南省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
79,435158792531183,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
